"Name","Runtime","Notes","Tags","lambda_L2","lambda_tv","aug_iou_multiple","aug_iou_single","standard_iou_multiple","standard_iou_single"
"classic-sweep-65","1200","-","","1.55","0.2","0.8544150483699844","0.8115608706128179","0.8724170395571944","0.8290216085362972"
"denim-sweep-57","1215","-","","1.55","0.2","0.8544150483699844","0.8115608706128179","0.8724170395571944","0.8290216085362972"
"happy-sweep-61","1203","-","","1.55","0.2","0.8544150483699844","0.8115608706128179","0.8724170395571944","0.8290216085362972"
"lyric-sweep-48","1203","-","","1.55","0.2","0.8544150483699844","0.8115608706128179","0.8724170395571944","0.8290216085362972"
"iconic-sweep-43","1212","-","","1.5","0.2","0.8542518418539404","0.8115433282831354","0.8724170395571944","0.8290216085362972"
"polar-sweep-40","1220","-","","1.5","0.2","0.8542518418539404","0.8115433282831354","0.8724170395571944","0.8290216085362972"
"gentle-sweep-50","1212","-","","1.5","0.2","0.8542518418539404","0.8115433282831354","0.8724170395571944","0.8290216085362972"
"quiet-sweep-36","1202","-","","1.5","0.2","0.8542518418539404","0.8115433282831354","0.8724170395571944","0.8290216085362972"
"drawn-sweep-37","1202","-","","1.5","0.2","0.8542518418539404","0.8115433282831354","0.8724170395571944","0.8290216085362972"
"lively-sweep-25","1244","-","","1.5","0.25","0.8540696382691566","0.8115258859788643","0.8724170395571944","0.8290216085362972"
"logical-sweep-62","1216","-","","1.5","0.25","0.8540696382691566","0.8115258859788643","0.8724170395571944","0.8290216085362972"
"fresh-sweep-30","1197","-","","1.55","0.25","0.8542061353720526","0.811506154459183","0.8724170395571944","0.8290216085362972"
"resilient-sweep-27","1242","-","","1.55","0.30000000000000004","0.8540369115474278","0.811501790076771","0.8724170395571944","0.8290216085362972"
"silver-sweep-47","1205","-","","1.6","0.2","0.854513605909421","0.8114975421645576","0.8724170395571944","0.8290216085362972"
"autumn-sweep-23","1246","-","","1.55","0.4","0.8537676112714225","0.8114908399661119","0.8724170395571944","0.8290216085362972"
"feasible-sweep-56","1209","-","","1.5","0.15000000000000002","0.8544959936532418","0.8114823504557176","0.8724170395571944","0.8290216085362972"
"scarlet-sweep-32","1215","-","","1.4","0.25","0.8536870688103181","0.8114654424356944","0.8724170395571944","0.8290216085362972"
"flowing-sweep-35","1204","-","","1.35","0.30000000000000004","0.853341912922065","0.8114637877734067","0.8724170395571944","0.8290216085362972"
"wild-sweep-59","1208","-","","1.55","0.15000000000000002","0.8546066136517914","0.8114556633068013","0.8724170395571944","0.8290216085362972"
"fluent-sweep-49","1206","-","","1.6","0.25","0.8543139228205604","0.8114492013053282","0.8724170395571944","0.8290216085362972"
"honest-sweep-15","1244","-","","1.6","0.45","0.8537920816987368","0.8114446932061713","0.8724170395571944","0.8290216085362972"
"swept-sweep-58","1208","-","","1.3","0.25","0.8533083687755079","0.811443303171112","0.8724170395571944","0.8290216085362972"
"earthy-sweep-22","1249","-","","1.4500000000000002","0.30000000000000004","0.8536761166984588","0.8114383032616088","0.8724170395571944","0.8290216085362972"
"lunar-sweep-18","1238","-","","1.6","0.35000000000000003","0.8540404614469058","0.811435049692196","0.8724170395571944","0.8290216085362972"
"spring-sweep-21","1238","-","","1.6","0.4","0.8539254164457077","0.811434262650058","0.8724170395571944","0.8290216085362972"
"fearless-sweep-46","1212","-","","1.65","0.30000000000000004","0.8543500759125925","0.8114341456050185","0.8724170395571944","0.8290216085362972"
"robust-sweep-41","1208","-","","1.4","0.4","0.853143615175601","0.8114124785352149","0.8724170395571944","0.8290216085362972"
"celestial-sweep-19","1242","-","","1.65","0.4","0.8540783802387928","0.8113868679493881","0.8724170395571944","0.8290216085362972"
"solar-sweep-63","1212","-","","1.7000000000000002","0.30000000000000004","0.854479237571336","0.8113601118216784","0.8724170395571944","0.8290216085362972"
"jolly-sweep-31","1205","-","","1.5","0.35000000000000003","0.8536246030049263","0.8113571178573143","0.8724170395571944","0.8290216085362972"
"copper-sweep-12","1242","-","","1.5","0.45","0.8533298096057106","0.8113519111421473","0.8724170395571944","0.8290216085362972"
"solar-sweep-55","1207","-","","1.55","0.55","0.8531992757303098","0.8112889138875699","0.8724170395571944","0.8290216085362972"
"generous-sweep-39","1211","-","","1.25","0.30000000000000004","0.8528342915561054","0.8112841633047722","0.8724170395571944","0.8290216085362972"
"worthy-sweep-44","1207","-","","1.3","0.4","0.8526833784568101","0.8112628768307172","0.8724170395571944","0.8290216085362972"
"flowing-sweep-53","1212","-","","1.8","0.30000000000000004","0.8546299928166515","0.8111539656309339","0.8724170395571944","0.8290216085362972"
"rare-sweep-17","1238","-","","1.65","0.6000000000000001","0.8533090217859972","0.8110975203702415","0.8724170395571944","0.8290216085362972"
"sunny-sweep-45","1202","-","","1.4500000000000002","0.65","0.8521884897824203","0.8109860315299241","0.8724170395571944","0.8290216085362972"
"skilled-sweep-14","1242","-","","1.8","0.55","0.853822393391419","0.8108484930667389","0.8724170395571944","0.8290216085362972"
"gentle-sweep-26","1242","-","","1.4","0.1","0.8543112857913675","0.8107882850611505","0.8724170395571944","0.8290216085362972"
"autumn-sweep-51","1202","-","","1.7000000000000002","0.8","0.8523735137447619","0.8105210268857971","0.8724170395571944","0.8290216085362972"
"super-sweep-33","1209","-","","1.15","0.5","0.8510450101441988","0.8104100805559254","0.8724170395571944","0.8290216085362972"
"restful-sweep-60","1210","-","","2.0500000000000003","0.35000000000000003","0.8544289696592535","0.8101033293444818","0.8724170395571944","0.8290216085362972"
"fast-sweep-10","1249","-","","1.75","0.05","0.8548962911848373","0.8096954438906259","0.8724170395571944","0.8290216085362972"
"sunny-sweep-13","1246","-","","1.3","0.95","0.8493065950394081","0.809261193920205","0.8724170395571944","0.8290216085362972"
"astral-sweep-38","1206","-","","2.3000000000000003","0.6000000000000001","0.8536276548095757","0.8088136680277768","0.8724170395571944","0.8290216085362972"
"driven-sweep-24","1245","-","","2","1.2000000000000002","0.8504848865321237","0.8080887610337332","0.8724170395571944","0.8290216085362972"
"effortless-sweep-9","1244","-","","0.75","0.05","0.8520572210592884","0.8079285460543788","0.8724170395571944","0.8290216085362972"
"deft-sweep-8","1246","-","","0.05","0.1","0.8469328589227348","0.8071588694381329","0.8724170395571944","0.8290216085362972"
"dry-sweep-54","1205","-","","0.7000000000000001","0.75","0.8458403890786915","0.8071024084175611","0.8724170395571944","0.8290216085362972"
"silver-sweep-42","1209","-","","1.05","1.8","0.8448669244803673","0.8052697086273688","0.8724170395571944","0.8290216085362972"
"comfy-sweep-5","1241","-","","0.25","3.85","0.8425940071963223","0.805107031956437","0.8724170395571944","0.8290216085362972"
"azure-sweep-34","1206","-","","3.0500000000000003","1.25","0.8499268336810369","0.8040647176554694","0.8724170395571944","0.8290216085362972"
"polar-sweep-7","1246","-","","0","4.5","0.840062003523519","0.8033526826096095","0.8724170395571944","0.8290216085362972"
"charmed-sweep-6","1244","-","","0","3.4000000000000004","0.8396551665074996","0.8029007248820109","0.8724170395571944","0.8290216085362972"
"distinctive-sweep-1","1252","-","","0.8500000000000001","3.95","0.8426712716463447","0.8027339589919362","0.8724170395571944","0.8290216085362972"
"lively-sweep-11","1242","-","","3","0","0.8513173797628615","0.8025155964141323","0.8724170395571944","0.8290216085362972"
"genial-sweep-20","1239","-","","0","1.25","0.839065357983203","0.8023659184625812","0.8724170395571944","0.8290216085362972"
"scarlet-sweep-64","1206","-","","4.05","1.6","0.8479411823166703","0.8004000744031535","0.8724170395571944","0.8290216085362972"
"dutiful-sweep-52","1206","-","","1.1","5","0.8408720523306438","0.7997417027239726","0.8724170395571944","0.8290216085362972"
"astral-sweep-4","1243","-","","2.0500000000000003","2.95","0.840942436975059","0.7979741615087081","0.8724170395571944","0.8290216085362972"
"toasty-sweep-16","1243","-","","5","0.5","0.8483682326124422","0.7978892826661586","0.8724170395571944","0.8290216085362972"
"rare-sweep-2","1243","-","","2.3000000000000003","2.9000000000000004","0.8410554806688934","0.7975828814824095","0.8724170395571944","0.8290216085362972"
"northern-sweep-28","1242","-","","5","2.75","0.8447516330004773","0.797095661834438","0.8724170395571944","0.8290216085362972"
"earnest-sweep-29","1222","-","","4.95","4.9","0.8383698881975786","0.7912328600552755","0.8724170395571944","0.8290216085362972"
"volcanic-sweep-3","1244","-","","3.1500000000000004","4.5","0.8363031620139925","0.7906699998268458","0.8724170395571944","0.8290216085362972"